show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,6,25,Madrid,Madrid,Spain,NA,"40.416775,-3.703790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.416775,-3.70379,"Season 6 | Ep. 25 | Madrid, Spain",Spain
No Reservations,6,26,Holiday Special,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 6 | Ep. 26 | New York City, USA",USA
No Reservations,7,1,Haiti,Port-au-Prince,Haiti,NA,"18.594395,-72.307433",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,18.594395,-72.307433,"Season 7 | Ep. 1 | Port-au-Prince, Haiti",Haiti
No Reservations,7,2,Cambodia,Siem Reap,Cambodia,NA,"13.355009,103.855173",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,13.355009,103.855173,"Season 7 | Ep. 2 | Siem Reap, Cambodia",Cambodia
No Reservations,7,2,Cambodia,Kep,Cambodia,NA,"10.536089,104.355916",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,10.536089,104.355916,"Season 7 | Ep. 2 | Kep, Cambodia",Cambodia
No Reservations,7,2,Cambodia,Phnom Penh,Cambodia,NA,"11.556374,104.928210",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,11.556374,104.92821000000001,"Season 7 | Ep. 2 | Phnom Penh, Cambodia",Cambodia
No Reservations,7,2,Cambodia,Kampot,Cambodia,NA,"10.594242,104.164035",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,10.594242,104.164035,"Season 7 | Ep. 2 | Kampot, Cambodia",Cambodia
No Reservations,7,3,Nicaragua,Managua,Nicaragua,NA,"12.114993,-86.236174",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,12.114993,-86.236174,"Season 7 | Ep. 3 | Managua, Nicaragua",Nicaragua
No Reservations,7,3,Nicaragua,Granada,Nicaragua,NA,"11.934407,-85.956001",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,11.934407,-85.956001,"Season 7 | Ep. 3 | Granada, Nicaragua",Nicaragua
No Reservations,7,3,Nicaragua,Esteli,Nicaragua,NA,"13.085114,-86.363020",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,13.085114,-86.36302,"Season 7 | Ep. 3 | Esteli, Nicaragua",Nicaragua
No Reservations,7,4,Vienna,Vienna,Austria,NA,"48.208174,16.373819",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,48.208174,16.373819,"Season 7 | Ep. 4 | Vienna, Austria",Austria
No Reservations,7,5,Ozarks,West Plains,Missouri,NA,"36.728115,-91.852371",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,36.728115,-91.852371,"Season 7 | Ep. 5 | West Plains, Missouri",USA
